ID,Release Group,Runtime ,Metascore,Rated,Year,Genre 1,Genre 2,Genre 3,Sequel
1013,John Wick: Chapter 4,2h 49m,78,14A,2023,Action,Crime,Thriller,TRUE
1014,Transformers: Rise of the Beasts,2h 7m,42,PG,2023,Action,Adventure,Science-Fiction,TRUE
1015,Aquaman and the Lost Kingdom,2h 4m,42,PG,2023,Action,Adventure,Fantasy,TRUE
1016,Meg 2: The Trench,1h 56m,40,PG,2023,Action,Horror,Science-Fiction,TRUE
1017,Indiana Jones and the Dial of Destiny,2h 34m,58,PG,2023,Action,Adventure,Fantasy,TRUE
1018,The Hunger Games: The Ballad of Songbirds & Snakes,2h 37m,54,PG,2023,Adventure,Science-Fiction,Thriller,TRUE
1019,Migration,1h 23m,56,PG,2023,Drama,,,FALSE
1020,Five Nights at Freddy's,1h 49m,33,14A,2023,Horror,Mystery,Thriller,TRUE
1021,Creed III,1h 56m,73,PG,2023,Drama,Sport,,TRUE
1022,The Flash,2h 24m,55,PG,2023,Action,Adventure,Fantasy,TRUE
1023,The Nun II,1h 50m,47,14A,2023,Horror,Mystery,Thriller,TRUE
1024,Taylor Swift: The Eras Tour,2h 49m,82,PG,2023,Music,Documentary,,TRUE
1025,Wish,1h 35m,47,G,2023,Drama,Fantasy,,FALSE
1026,Sound of Freedom,2h 11m,36,PG,2023,Crime,Thriller,,FALSE
1027,Napoleon,2h 38m,64,14A,2023,War,Action,History,FALSE
1028,Anyone But You,1h 43m,52,14A,2023,Romance,Comedy,,FALSE
1029,Dungeons & Dragons: Honor Among Thieves,2h 14m,72,PG,2023,Adventure,Fantasy,,TRUE
1030,Trolls Band Together,1h 31m,53,G,2023,Animation,Adventure,Comedy,TRUE
1031,The Marvels,1h 45m,50,PG,2023,Action,Adventure,Fantasy,TRUE
1032,PAW Patrol: The Mighty Movie,1h 28m,49,PG,2023,Animation,Adventure,Family,TRUE
1033,The Equalizer 3,1h 49m,58,14A,2023,Action,Crime,Thriller,TRUE
1034,Insidious: The Red Door,1h 47m,45,14A,2023,Horror,Mystery,Thriller,TRUE
1035,Teenage Mutant Ninja Turtles: Mutant Mayhem,1h 39m,74,PG,2023,Action,Adventure,Comedy,TRUE
1036,The Boy and the Heron,2h 4m,91,PG,2023,Drama,,,FALSE
1037,Scream VI,2h 2m,61,14A,2023,Horror,Mystery,Thriller,TRUE
